date,home_team_abbr,away_team_abbr,home_ml,away_ml
2022-04-24T17:35:00+00:00,NYY,CLE,-215,180
2022-04-24T17:40:00+00:00,CIN,STL,128,-164
2022-04-24T18:10:00+00:00,MIN,CHW,-106,-110
2022-04-24T18:10:00+00:00,HOU,TOR,-132,112
2022-04-24T18:20:00+00:00,CHC,PIT,-164,138
2022-04-24T20:07:00+00:00,OAK,TEX,100,-118
2022-04-24T20:07:00+00:00,LAA,BAL,-210,176
2022-04-24T20:10:00+00:00,ARI,NYM,146,-186
2022-04-24T20:10:00+00:00,SDP,LAD,152,-196
2022-04-24T20:10:00+00:00,SEA,KCR,-200,168
2022-04-24T23:08:00+00:00,PHI,MIL,-148,126
2022-04-25T22:10:00+00:00,MIL,SFG,-215,168
2022-04-25T22:45:00+00:00,PHI,COL,-190,160
2022-04-25T23:07:00+00:00,TOR,BOS,-130,110
2022-04-25T23:45:00+00:00,STL,NYM,124,-158
2022-04-26T00:05:00+00:00,TEX,HOU,110,-130
2022-04-26T01:38:00+00:00,LAA,CLE,-132,112
2022-04-26T01:40:00+00:00,ARI,LAD,162,-194
2022-04-26T22:35:00+00:00,PIT,MIL,152,-196
2022-04-26T22:40:00+00:00,CIN,SDP,144,-172
2022-04-26T22:40:00+00:00,TBR,SEA,-130,110
2022-04-26T22:45:00+00:00,PHI,COL,-174,146
2022-04-26T23:05:00+00:00,WSN,MIA,114,-134
2022-04-26T23:05:00+00:00,NYY,BAL,-295,240
2022-04-26T23:07:00+00:00,TOR,BOS,-205,172
2022-04-26T23:10:00+00:00,CHW,KCR,-162,136
2022-04-26T23:20:00+00:00,ATL,CHC,-190,148
2022-04-26T23:40:00+00:00,MIN,DET,-154,130
2022-04-26T23:45:00+00:00,STL,NYM,108,-126
2022-04-27T00:05:00+00:00,TEX,HOU,-108,-108
2022-04-27T01:38:00+00:00,LAA,CLE,-164,138
2022-04-27T01:40:00+00:00,ARI,LAD,188,-225
2022-04-27T01:45:00+00:00,SFG,OAK,-260,215
2022-04-27T17:15:00+00:00,STL,NYM,100,-118
2022-04-27T18:10:00+00:00,CHW,KCR,-215,166
2022-04-27T19:40:00+00:00,ARI,LAD,148,-176
2022-04-27T22:35:00+00:00,PIT,MIL,146,-174
2022-04-27T22:40:00+00:00,CIN,SDP,124,-156
2022-04-27T22:40:00+00:00,TBR,SEA,-146,124
